District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,Start_date
Blue Lake Union Elementary,In Person,1,164,Blue Lake,CA,2022-12-25
Bogus Elementary,In Person,1,19,Montague,CA,2022-12-25
Santa Maria-Bonita,In Person,21,16959,Santa Maria,CA,2022-12-25
Bonita Unified,In Person,15,10039,San Dimas,CA,2022-12-25
Borrego Springs Unified,In Person,3,373,Borrego Springs,CA,2022-12-25
Bradley Union Elementary,In Person,1,70,Bradley,CA,2022-12-25
Culver City Unified,In Person,9,7106,Culver City,CA,2022-12-25
Cupertino Union,In Person,25,16718,Sunnyvale,CA,2022-12-25
Cutler-Orosi Joint Unified,In Person,8,4123,Orosi,CA,2022-12-25
Cutten Elementary,In Person,2,639,Eureka,CA,2022-12-25
Cypress Elementary,In Person,6,3813,Cypress,CA,2022-12-25
Davis Joint Unified,In Person,17,8546,Davis,CA,2022-12-25
Del Mar Union Elementary,In Person,8,4132,San Diego,CA,2022-12-25
Del Norte County Unified,In Person,11,3706,Crescent City,CA,2022-12-25
Delano Joint Union High,In Person,4,4263,Delano,CA,2022-12-25
Delano Union Elementary,In Person,12,6687,Delano,CA,2022-12-25
Denair Unified,In Person,5,1315,Denair,CA,2022-12-25
Desert Center Unified,In Person,1,28,Desert Center,CA,2022-12-25
Desert Sands Unified,In Person,34,27963,La Quinta,CA,2022-12-25
Miller Creek Elementary,In Person,4,2024,San Rafael,CA,2022-12-25
Dixon Unified,In Person,7,3081,Dixon,CA,2022-12-25
Downey Unified,In Person,21,22101,Downey,CA,2022-12-25
Dry Creek Joint Elementary,In Person,10,6681,Roseville,CA,2022-12-25
Duarte Unified,In Person,7,3433,Duarte,CA,2022-12-25
Dunham Elementary,In Person,2,168,Petaluma,CA,2022-12-25
Dunsmuir Elementary,In Person,1,93,Dunsmuir,CA,2022-12-25
Harmony Union Elementary,In Person,2,227,Occidental,CA,2022-12-25
Hart-Ransom Union Elementary,In Person,2,1207,Modesto,CA,2022-12-25
Hawthorne,In Person,11,7924,Hawthorne,CA,2022-12-25
Hayward Unified,In Person,32,19802,Hayward,CA,2022-12-25
Heber Elementary,In Person,2,1268,Heber,CA,2022-12-25
Helendale Elementary,In Person,4,1113,Helendale,CA,2022-12-25
Hemet Unified,In Person,27,22303,Hemet,CA,2022-12-25
Hermosa Beach City Elementary,In Person,2,1351,Hermosa Beach,CA,2022-12-25
Hickman Community Charter,In Person,3,1041,Hickman,CA,2022-12-25
Hilmar Unified,In Person,6,2429,Hilmar,CA,2022-12-25
Hollister,In Person,10,5612,Hollister,CA,2022-12-25
Holtville Unified,In Person,6,1573,Holtville,CA,2022-12-25
Hope Elementary,In Person,3,932,Santa Barbara,CA,2022-12-25
Hope Elementary,In Person,1,233,Porterville,CA,2022-12-25
Horicon Elementary,In Person,1,62,Annapolis,CA,2022-12-25
Hot Springs Elementary,In Person,1,24,California Hot Springs,CA,2022-12-25
Howell Mountain Elementary,In Person,1,99,Angwin,CA,2022-12-25
Hueneme Elementary,In Person,11,7946,Port Hueneme,CA,2022-12-25
Hughes-Elizabeth Lakes Union Elementary,In Person,1,179,Lake Hughes,CA,2022-12-25
Huntington Beach City Elementary,In Person,8,6456,Huntington Beach,CA,2022-12-25
Long Beach Unified,In Person,84,71712,Long Beach,CA,2022-12-25
Loomis Union Elementary,In Person,7,3011,Loomis,CA,2022-12-25
Los Alamitos Unified,In Person,9,9697,Los Alamitos,CA,2022-12-25
Los Altos Elementary,In Person,11,3999,Los Altos,CA,2022-12-25
Los Angeles Unified,In Person,782,483234,Los Angeles,CA,2022-12-25
Los Banos Unified,In Person,17,11084,Los Banos,CA,2022-12-25
Los Gatos-Saratoga Union High,In Person,2,3542,Los Gatos,CA,2022-12-25
Los Gatos Union Elementary,In Person,5,2978,Los Gatos,CA,2022-12-25
Lost Hills Union Elementary,In Person,2,287,Lost Hills,CA,2022-12-25
Lowell Joint,In Person,6,3147,Whittier,CA,2022-12-25
Lucia Mar Unified,In Person,19,10265,Arroyo Grande,CA,2022-12-25
Lynwood Unified,In Person,19,13245,Lynwood,CA,2022-12-25
Madera Unified,In Person,28,20119,Madera,CA,2022-12-25
Magnolia Elementary,In Person,9,5678,Anaheim,CA,2022-12-25
